wrs,date,datetime,ID,cloud_percent,selected_due_to_high_nodata_clouds,nodata_perc,EI_region,geometry,inside_val_regions,inside_hassi,inside_marcellus,inside_permian,ls_cloud_perc,ls_cloud_shadow_perc,ls_nodata_perc
174_034,2022-05-26,2022-05-26T08:09:26.219566+00:00,LC08_L1TP_174034_20220526_20220602_02_T1,0.64,False,4.009,Middle East,"POLYGON Z ((36.157 38.426 6999.999999999999, 38.326 38.111 6999.999999999999, 37.826 36.516 6999.999999999999, 35.702 36.825 6999.999999999999, 36.157 38.426 6999.999999999999))",False,False,False,False,,,
174_034,2023-08-17,2023-08-17T08:09:27.176962+00:00,LC08_L1TP_174034_20230817_20230823_02_T1,2.69,False,4.04,Middle East,"POLYGON Z ((36.157 38.426 6999.999999999999, 38.326 38.111 6999.999999999999, 37.826 36.516 6999.999999999999, 35.702 36.825 6999.999999999999, 36.157 38.426 6999.999999999999))",False,False,False,False,,,
174_034,2024-01-08,2024-01-08T08:09:36.622532+00:00,LC08_L1TP_174034_20240108_20240122_02_T1,74.65,False,4.056,Middle East,"POLYGON Z ((36.157 38.426 6999.999999999999, 38.326 38.111 6999.999999999999, 37.826 36.516 6999.999999999999, 35.702 36.825 6999.999999999999, 36.157 38.426 6999.999999999999))",False,False,False,False,,,
174_034,2024-06-08,2024-06-08T08:08:51.064067+00:00,LC09_L1TP_174034_20240608_20240608_02_T1,3.41,True,4.059,Middle East,"POLYGON Z ((36.157 38.426 6999.999999999999, 38.326 38.111 6999.999999999999, 37.826 36.516 6999.999999999999, 35.702 36.825 6999.999999999999, 36.157 38.426 6999.999999999999))",False,False,False,False,,,
174_035,2022-04-16,2022-04-16T08:09:44.522953+00:00,LC09_L1TP_174035_20220416_20230421_02_T1,27.89,False,4.031,Middle East,"POLYGON Z ((35.75 36.993 6999.999999999999, 37.877 36.684 6999.999999999999, 37.393 35.087 6999.999999999999, 35.307 35.39 6999.999999999999, 35.75 36.993 6999.999999999999))",False,False,False,False,,,
174_035,2022-10-17,2022-10-17T08:10:26.834206+00:00,LC08_L1TP_174035_20221017_20221031_02_T1,22.73,False,4.013,Middle East,"POLYGON Z ((35.75 36.993 6999.999999999999, 37.877 36.684 6999.999999999999, 37.393 35.087 6999.999999999999, 35.307 35.39 6999.999999999999, 35.75 36.993 6999.999999999999))",False,False,False,False,,,
174_035,2022-12-28,2022-12-28T08:10:20.268056+00:00,LC09_L1TP_174035_20221228_20230316_02_T1,9.88,False,3.711,Middle East,"POLYGON Z ((35.75 36.993 6999.999999999999, 37.877 36.684 6999.999999999999, 37.393 35.087 6999.999999999999, 35.307 35.39 6999.999999999999, 35.75 36.993 6999.999999999999))",False,False,False,False,,,
174_035,2023-07-24,2023-07-24T08:09:29.156688+00:00,LC09_L1TP_174035_20230724_20230725_02_T1,2.23,False,4.084,Middle East,"POLYGON Z ((35.75 36.993 6999.999999999999, 37.877 36.684 6999.999999999999, 37.393 35.087 6999.999999999999, 35.307 35.39 6999.999999999999, 35.75 36.993 6999.999999999999))",False,False,False,False,,,
174_035,2024-06-08,2024-06-08T08:09:14.950848+00:00,LC09_L1TP_174035_20240608_20240608_02_T1,8.78,False,3.654,Middle East,"POLYGON Z ((35.75 36.993 6999.999999999999, 37.877 36.684 6999.999999999999, 37.393 35.087 6999.999999999999, 35.307 35.39 6999.999999999999, 35.75 36.993 6999.999999999999))",False,False,False,False,,,
174_035,2024-06-16,2024-06-16T08:09:03.122471+00:00,LC08_L1TP_174035_20240616_20240705_02_T1,1.33,False,3.985,Middle East,"POLYGON Z ((35.75 36.993 6999.999999999999, 37.877 36.684 6999.999999999999, 37.393 35.087 6999.999999999999, 35.307 35.39 6999.999999999999, 35.75 36.993 6999.999999999999))",False,False,False,False,,,
