mgrs,date,datetime,ID,cloud_percent
49SGU,2023-07-11,2023-07-11T03:18:25.400000+00:00,S2B_49SGU_20230711_0_L1C,29.9003254800084
49SGV,2022-07-31,2022-07-31T03:18:15.897000+00:00,S2A_49SGV_20220731_0_L1C,27.903192092926
49TCF,2022-09-05,2022-09-05T03:36:57.010000+00:00,S2A_49TCF_20220905_0_L1C,5.66983920943555
49TCG,2022-05-01,2022-05-01T03:46:32.676000+00:00,S2A_49TCG_20220501_0_L1C,0.305264415181104
49TCH,2022-06-30,2022-06-30T03:46:26.236000+00:00,S2A_49TCH_20220630_0_L1C,17.5031801487055
49TDE,2023-02-27,2023-02-27T03:36:56.878000+00:00,S2B_49TDE_20230227_0_L1C,4.81629788885903
49TDL,2023-11-02,2023-11-02T03:45:24.854000+00:00,S2A_49TDL_20231102_0_L1C,24.7476783421422
49TEE,2023-05-08,2023-05-08T03:36:54.656000+00:00,S2B_49TEE_20230508_0_L1C,10.9448667328241
49TEG,2022-08-01,2022-08-01T03:36:28.291000+00:00,S2B_49TEG_20220801_0_L1C,14.3460539281555
49TGJ,2023-01-30,2023-01-30T03:25:49.304000+00:00,S2A_49TGJ_20230130_0_L1C,15.5052405267401
49TGK,2022-01-25,2022-01-25T03:25:36.823000+00:00,S2A_49TGK_20220125_0_L1C,40.6039595090925
49UCA,2022-08-30,2022-08-30T04:03:02.407000+00:00,S2B_49UCA_20220830_0_L1C,5.14130012840037
49UCB,2023-05-20,2023-05-20T04:12:48.839000+00:00,S2B_49UCB_20230520_0_L1C,4.286158797267
49UCV,2023-11-13,2023-11-13T04:03:16.498000+00:00,S2B_49UCV_20231113_0_L1C,47.8746454059542
49UDB,2023-05-22,2023-05-22T04:02:45.634000+00:00,S2A_49UDB_20230522_0_L1C,29.8721072591
49VCC,2023-02-24,2023-02-24T04:12:27.980000+00:00,S2A_49VCC_20230224_0_L1C,0.0139448774224372
49VDC,2023-07-13,2023-07-13T03:52:35.733000+00:00,S2B_49VDC_20230713_0_L1C,48.2495960904396
49VDD,2023-02-24,2023-02-24T04:12:08.661000+00:00,S2A_49VDD_20230224_0_L1C,5.88699287831902
49VDE,2023-11-26,2023-11-26T04:11:52.879000+00:00,S2B_49VDE_20231126_0_L1C,8.83209668821638
49VED,2022-01-27,2022-01-27T04:02:09.651000+00:00,S2A_49VED_20220127_0_L1C,11.4931206746138
49VEE,2022-10-21,2022-10-21T03:51:59.807000+00:00,S2A_49VEE_20221021_0_L1C,16.5649762246228
49VFF,2023-08-22,2023-08-22T03:51:44.408000+00:00,S2B_49VFF_20230822_0_L1C,24.4148526381797
50JMM,2023-03-22,2023-03-22T02:26:10.702000+00:00,S2B_50JMM_20230322_0_L1C,37.6882857057541
