mgrs,date,datetime,ID,cloud_percent,selected_due_to_high_nodata_clouds,nodata_perc,EI_region,geometry,OG_producing,overlapping_area,omni_nodata_perc,omni_cloud_perc,omni_cloud_shadow_perc
39RVP,2024-06-15,2024-06-15T07:16:21.024000+00:00,S2A_MSIL2A_20240615T071621_N0510_R006_T39RVP_20240615T133703,0.419305,True,0.0,Middle East,"POLYGON Z ((49.95506112040001 30.7288635167 0, 51.1019523371 30.7330299888 0, 51.1009348305 29.7421652746 0, 49.96548758330001 29.7381603676 0, 49.95506112040001 30.7288635167 0))",True,10445662659.486633,0.0,0.0014598491710379195,0.0025049684639400667
39RVQ,2016-11-04,2016-11-04T07:20:52.026000+00:00,S2A_MSIL2A_20161104T072052_N0212_R006_T39RVQ_20210413T194437,2.106848,False,0.0,Middle East,"POLYGON Z ((49.945103014 31.6311891453 0, 51.1029241437 31.6355056283 0, 51.1018596422 30.6447787416 0, 49.95601096940001 30.6406267898 0, 49.945103014 31.6311891453 0))",True,4914108227.852442,0.0,7.631029757698216e-05,0.0001924346634549985
39RVQ,2019-03-11,2019-03-11T07:07:11.024000+00:00,S2A_MSIL2A_20190311T070711_N0212_R106_T39RVQ_20201007T052646,16.649864,False,81.86,Middle East,"POLYGON Z ((49.945103014 31.6311891453 0, 51.1029241437 31.6355056283 0, 51.1018596422 30.6447787416 0, 49.95601096940001 30.6406267898 0, 49.945103014 31.6311891453 0))",True,4914108227.852442,69.03460837887067,0.29288546019500694,0.03937640630022501
39RVQ,2019-12-04,2019-12-04T07:22:49.024000+00:00,S2B_MSIL2A_20191204T072249_N0212_R006_T39RVQ_20201003T004235,9.288785,True,0.0,Middle East,"POLYGON Z ((49.945103014 31.6311891453 0, 51.1029241437 31.6355056283 0, 51.1018596422 30.6447787416 0, 49.95601096940001 30.6406267898 0, 49.945103014 31.6311891453 0))",True,4914108227.852442,0.0,10.923467407208337,2.869154382367676
39RVQ,2023-08-30,2023-08-30T07:16:21.024000+00:00,S2A_MSIL2A_20230830T071621_N0509_R006_T39RVQ_20230830T152206,0.487122,False,0.0,Middle East,"POLYGON Z ((49.945103014 31.6311891453 0, 51.1029241437 31.6355056283 0, 51.1018596422 30.6447787416 0, 49.95601096940001 30.6406267898 0, 49.945103014 31.6311891453 0))",True,4914108227.852442,0.0,0.5135616670150398,0.45134223177759863
39RVQ,2025-01-31,2025-01-31T07:22:01.025000+00:00,S2C_MSIL2A_20250131T072201_N0511_R006_T39RVQ_20250131T125900,0.684938,False,0.0,Middle East,"POLYGON Z ((49.945103014 31.6311891453 0, 51.1029241437 31.6355056283 0, 51.1018596422 30.6447787416 0, 49.95601096940001 30.6406267898 0, 49.945103014 31.6311891453 0))",True,4914108227.852442,0.0,0.0,0.0
39RWJ,2017-09-17,2017-09-17T07:13:01.026000+00:00,S2A_MSIL2A_20170917T071301_N0212_R106_T39RWJ_20210202T043347,23.87212,False,94.63,Middle East,"POLYGON Z ((50.9997997809 26.2199293963 0, 52.0989216411 26.2157296884 0, 52.08984888869999 25.2243945406 0, 50.9998014344 25.2284131529 0, 50.9997997809 26.2199293963 0))",True,2184703219.5977216,0.0,26.19960451358821,4.725209936264313
39RWJ,2018-03-18,2018-03-18T06:56:19.027000+00:00,S2B_MSIL2A_20180318T065619_N0212_R063_T39RWJ_20201013T104958,0.000311,True,0.0,Middle East,"POLYGON Z ((50.9997997809 26.2199293963 0, 52.0989216411 26.2157296884 0, 52.08984888869999 25.2243945406 0, 50.9998014344 25.2284131529 0, 50.9997997809 26.2199293963 0))",True,2184703219.5977216,77.83915779974187,1.497162876349318e-05,0.00025451768897938407
39RWJ,2019-09-22,2019-09-22T07:06:19.024000+00:00,S2B_MSIL2A_20190922T070619_N0212_R106_T39RWJ_20201004T160957,0.774868,False,94.964,Middle East,"POLYGON Z ((50.9997997809 26.2199293963 0, 52.0989216411 26.2157296884 0, 52.08984888869999 25.2243945406 0, 50.9998014344 25.2284131529 0, 50.9997997809 26.2199293963 0))",True,2184703219.5977216,0.0,3.9238290516620715,0.0033875136446129906
39RWJ,2020-04-26,2020-04-26T06:56:19.024000+00:00,S2B_MSIL2A_20200426T065619_N0212_R063_T39RWJ_20200922T051522,61.277137,True,0.0,Middle East,"POLYGON Z ((50.9997997809 26.2199293963 0, 52.0989216411 26.2157296884 0, 52.08984888869999 25.2243945406 0, 50.9998014344 25.2284131529 0, 50.9997997809 26.2199293963 0))",True,2184703219.5977216,78.4257517393771,16.924659746251443,2.884967320261438
39RWJ,2022-02-15,2022-02-15T06:59:49.024000+00:00,S2B_MSIL2A_20220215T065949_N0400_R063_T39RWJ_20220223T140109,0.109796,False,94.323,Middle East,"POLYGON Z ((50.9997997809 26.2199293963 0, 52.0989216411 26.2157296884 0, 52.08984888869999 25.2243945406 0, 50.9998014344 25.2284131529 0, 50.9997997809 26.2199293963 0))",True,2184703219.5977216,77.73763192557423,7.976706061193163,0.019001773498859894
39RWJ,2023-09-26,2023-09-26T07:06:41.024000+00:00,S2A_MSIL2A_20230926T070641_N0509_R106_T39RWJ_20230926T131043,0.072777,True,0.0,Middle East,"POLYGON Z ((50.9997997809 26.2199293963 0, 52.0989216411 26.2157296884 0, 52.08984888869999 25.2243945406 0, 50.9998014344 25.2284131529 0, 50.9997997809 26.2199293963 0))",True,2184703219.5977216,0.0,0.008908397782356395,0.001539477307639988
