Name,geometry,EI_region,OG_producing
12TYM,"POLYGON Z ((-108.569289547 42.4269119955 0, -107.2368635673 42.3908806617 0, -107.2944377015 41.4040347455 0, -108.6065392232 41.4388462443 0, -108.569289547 42.4269119955 0))",USA,True
12TYN,"POLYGON Z ((-108.5337108589 43.3262569713 0, -107.1818762963 43.2890817984 0, -107.2421415547 42.3024516149 0, -108.5727044513 42.3383721014 0, -108.5337108589 43.3262569713 0))",USA,True
12TYP,"POLYGON Z ((-108.4964289328 44.2259751275 0, -107.1242610537 44.1876215835 0, -107.1873683405 43.2012113547 0, -108.5372645223 43.2382731563 0, -108.4964289328 44.2259751275 0))",USA,True
12TYQ,"POLYGON Z ((-108.4573686428 45.1255248825 0, -107.0639024439 45.0859569597 0, -107.1300132336 44.0997709175 0, -108.500151211 44.1380076875 0, -108.4573686428 45.1255248825 0))",USA,True
12TYS,"POLYGON Z ((-108.3735146447 46.9235730578 0, -106.9343428673 46.8814596607 0, -107.0069978335 45.8957352511 0, -108.4205405445 45.9364308726 0, -108.3735146447 46.9235730578 0))",USA,True
12UXU,"POLYGON Z ((-109.6397207537 48.7449841112 0, -108.1475612915 48.7176947506 0, -108.2019052847 47.7310444772 0, -109.665668651 47.7574097369 0, -109.6397207537 48.7449841112 0))",USA,True
13REQ,"POLYGON Z ((-105.0002109103 31.6355471131 0, -103.842414205 31.6302993771 0, -103.8543834501 30.6397709351 0, -105.0002087289 30.644818645 0, -105.0002109103 31.6355471131 0))",USA,True
13RFP,"POLYGON Z ((-103.9554788702 30.7288668795 0, -102.8091166686 30.7145772058 0, -102.8309612202 29.7244279453 0, -103.9659011666 29.7381636 0, -103.9554788702 30.7288668795 0))",USA,True
13RFQ,"POLYGON Z ((-103.9455247432 31.63119262920001 0, -102.7882538335 31.6163885677 0, -102.8111066834 30.626390258 0, -103.9564283398 30.6406301409 0, -103.9455247432 31.63119262920001 0))",USA,True
13RGP,"POLYGON Z ((-102.9118141155 30.7162703816 0, -101.7664374613 30.6927831157 0, -101.7986417305 29.703478533 0, -102.9326365369 29.7260554837 0, -102.9118141155 30.7162703816 0))",USA,True
13RGQ,"POLYGON Z ((-102.8919274231 31.6181426848 0, -101.7356815172 31.5938102557 0, -101.7693711895 30.6046720794 0, -102.9137110176 30.628077535 0, -102.8919274231 31.6181426848 0))",USA,True
13SBA,"POLYGON Z ((-108.3713182092 36.9986680798 0, -107.1385056246 37.0273076796 0, -107.1114312329 36.0381279927 0, -108.3286936481 36.0104972572 0, -108.3713182092 36.9986680798 0))",USA,True
13SBB,"POLYGON Z ((-108.4119724787 37.8980997873 0, -107.1643298413 37.9276804329 0, -107.1360250458 36.9386673111 0, -108.3674130031 36.9101191611 0, -108.4119724787 37.8980997873 0))",USA,True
13SBD,"POLYGON Z ((-108.4989768995 39.6975094675 0, -107.2196007919 39.7290432638 0, -107.1886519265 38.7403699565 0, -108.4502601104 38.709920195 0, -108.4989768995 39.6975094675 0))",USA,True
13SBV,"POLYGON Z ((-108.3324065876 36.0985230303 0, -107.1137895726 36.1262426116 0, -107.0878912417 35.1368985412 0, -108.2916316773 35.1101654766 0, -108.3324065876 36.0985230303 0))",USA,True
