plume_id,plume_latitude,plume_longitude,datetime,ipcc_sector,gas,cmf_type,plume_bounds,instrument,published_at,plume_png_object,plume_tif_object,rgb_png_object,rgb_tif_object,emission_auto,emission_uncertainty_auto,wind_speed_avg_auto,wind_speed_std_auto,wind_direction_avg_auto,wind_direction_std_auto,wind_source_auto,platform,provider
emi20240127t133000p08045-A,-20.619861135797606,-49.337474671079576,2024-01-27T13:30:00+00,Solid Waste (6A),CH4,mfa,"[-49.3711192776167, -20.6558407861247, -49.30679200781944, -20.59563680880811]",emi,2024-02-22 17:53:35.630095+00:00,,,,,2057.059476371131,912.700433483551,1.3611111111111114,0.6039138466340863,333.996295319776,81.83515506166177,openmeteo,ISS,NASA-JPL EMIT
emi20240127t164546p11002-A,9.543646201885238,-73.50258010557403,2024-01-27T16:45:46+00,Coal Mining (1B1a),CH4,mfa,"[-73.52620413497952, 9.509990121009691, -73.4629551309869, 9.571826522663638]",emi,2024-02-22 17:51:58.407594+00:00,,,,,1170.9052404019747,455.5162086665871,1.3425925925925926,0.5223075843026095,115.00642976146472,6.689007577486925,openmeteo,ISS,NASA-JPL EMIT
emi20240127t195904p13008-A,31.391311960336196,-101.44279826937446,2024-01-27T19:59:04+00,Oil & Gas (1B2),CH4,mfa,"[-101.47532917165437, 31.35388570833397, -101.40667730141308, 31.411997526835755]",emi,2024-03-01 21:49:35.909717+00:00,,,,,6060.157674833212,494.80330785230075,5.94140625,0.485107421875,346.1296001731858,1.8602059764319514,hrrr,ISS,NASA-JPL EMIT
emi20240127t195904p13008-B,31.571074166110236,-101.81762272135055,2024-01-27T19:59:04+00,Oil & Gas (1B2),CH4,mfa,"[-101.84962520250362, 31.537527286106048, -101.78143705002039, 31.595625800771213]",emi,2024-03-01 21:49:36.582179+00:00,,,,,2130.1250743854316,297.7751255043114,4.984375,0.69677734375,348.83346545237146,2.171225579026998,hrrr,ISS,NASA-JPL EMIT
emi20240129t071545p04038-A,-26.28159703432346,28.18475652898053,2024-01-29T07:15:45+00,Solid Waste (6A),CH4,mfa,"[28.158664837175035, -26.30735623037935, 28.223510118423345, -26.249212434190607]",emi,2024-02-21 17:42:37.969920+00:00,,,,,6543.057692981397,1804.4422365953867,1.9444444444444446,0.5362382309470466,345.03859101760844,10.825323290277034,openmeteo,ISS,NASA-JPL EMIT
emi20240129t071557p04039-A,-26.090127091004106,28.966310533533715,2024-01-29T07:15:57+00,Electricity Generation (1A1),CO2,mfa,"[28.93879803814863, -26.119821856832687, 29.004285359597272, -26.060496063370984]",emi,2024-02-21 17:43:17.717709+00:00,,,,,,,,,,,,ISS,NASA-JPL EMIT
emi20240129t071557p04039-B,-25.92047188996557,28.915888208465304,2024-01-29T07:15:57+00,Electricity Generation (1A1),CO2,mfa,"[28.89068827171319, -25.952758830536517, 28.956655502995613, -25.893429117387623]",emi,2024-02-21 17:43:24.850630+00:00,,,,,,,,,,,,ISS,NASA-JPL EMIT
emi20240129t182622p12015-A,33.42150955181636,-87.23942732831478,2024-01-29T18:26:22+00,Coal Mining (1B1a),CH4,mfa,"[-87.26695104433665, 33.38948368011993, -87.20070779606813, 33.44477580576151]",emi,2024-02-28 03:33:50.633493+00:00,,,,,2037.9270259661048,166.83030065506838,1.9921875,0.1630859375,323.7226728273387,8.837601764598144,hrrr,ISS,NASA-JPL EMIT
emi20240129t182622p12015-B,33.378580120739116,-87.23242605875166,2024-01-29T18:26:22+00,Coal Mining (1B1a),CH4,mfa,"[-87.26273763668213, 33.35025540344553, -87.19593955803161, 33.40554650929928]",emi,2024-02-28 03:33:50.681597+00:00,,,,,1176.7191181309215,81.22041351425477,2.05859375,0.14208984375,323.68787984370664,9.816451031286677,hrrr,ISS,NASA-JPL EMIT
emi20240130t051752p04008-A,36.98135760931335,111.70156429213529,2024-01-30T05:17:52+00,Coal Mining (1B1a),CH4,mfa,"[111.67303314886577, 36.96548704139368, 111.74169369083059, 37.02080359374132]",emi,2024-02-22 17:51:24.829206+00:00,,,,,2684.5551019425257,189.82671170525032,3.3333333333333335,0.23570226039551584,178.99969522011378,2.160438861636247,openmeteo,ISS,NASA-JPL EMIT
