,lat,lon,date
2124,36.40302098607236,61.35352755341422,2023-09-02
2125,39.97636874018228,61.686855315147234,2023-09-02
2126,36.47354214395446,61.45695218187754,2023-09-02
2129,28.90887544164568,20.98184340454444,2023-09-02
2138,38.66170007829973,64.77448212799317,2023-09-04
2140,28.97497149809259,47.95423755226928,2023-09-04
2141,39.46160722433123,53.77510341371729,2023-09-04
2142,25.132716136057432,47.36263965172504,2023-09-04
2143,19.56587026287029,-92.23730658352304,2023-09-04
2152,31.778301084307174,5.995524823594917,2023-09-05
2159,38.68047486165595,54.31610584822957,2023-09-06
2160,38.64817712867019,54.28267961880965,2023-09-06
2161,39.46160445158602,53.775219520585786,2023-09-06
2162,38.854802704660095,54.23536866613467,2023-09-06
2163,38.330620680537926,54.02833144405426,2023-09-06
2165,36.473002869910815,61.45707448625988,2023-09-07
2166,28.97506614454276,47.95403509916332,2023-09-07
2167,29.25407088127505,21.54918828787419,2023-09-07
2168,28.637698696855765,7.615959509034652,2023-09-07
2173,38.66250727056772,64.7747319100407,2023-09-09
2175,39.46187445301391,53.77523025198296,2023-09-09
2176,28.97390784750137,47.95338674635809,2023-09-09
2187,39.97687332765474,61.68368378425699,2023-09-10
2188,39.66147468258621,60.21920827283815,2023-09-10
2191,31.777860527421364,5.995088404438995,2023-09-10
2194,38.49395572342336,54.197827841423845,2023-09-11
2195,38.85534253560964,54.23539314980082,2023-09-11
2196,38.679867893216326,54.31527332783252,2023-09-11
2197,38.647920106842456,54.28220837733308,2023-09-11
2202,36.43357661284077,61.80825962539336,2023-09-12
2203,36.47281830150924,61.45674330963955,2023-09-12
2204,40.212332533882,63.46912340138048,2023-09-12
2207,28.637698696855765,7.615959509034652,2023-09-12
2217,31.77795062504214,5.995091310646398,2023-09-13
2219,38.73507339669928,64.61753379164723,2023-09-14
2220,38.66205166200274,64.77506544406837,2023-09-14
2221,15.569696112855471,45.82633257377863,2023-09-14
2231,37.9285571831856,53.91631318011069,2023-09-16
2232,39.461789997949545,53.77499446048474,2023-09-16
2233,38.64997033511575,54.27977468983509,2023-09-16
2234,37.7170792148952,53.927505888502886,2023-09-16
2235,38.85526213545104,54.23504387155509,2023-09-16
2240,36.47372382602786,61.45706019280905,2023-09-17
2241,36.63585865061968,61.64744202585904,2023-09-17
2242,28.909055850339374,20.981022734648736,2023-09-17
2249,33.61349877574568,42.58856567528134,2023-09-18
2251,31.77787293924682,5.994561046709481,2023-09-18
2259,38.66224576076537,64.77415081485555,2023-09-19
2260,38.73507976263046,64.61707374896943,2023-09-19
2261,19.56659316858604,-92.23730318345947,2023-09-19
2263,39.688806793765735,60.24367985541343,2023-09-20
2264,39.66129476101699,60.21919991615359,2023-09-20
